Date,PX_OPEN,ChangeO,% ChangeO,PX_LAST,ChangeL,% ChangeL,PX_LOW,PX_HIGH,PX_MID,PX_VOLUME,TURNOVER,Market Cap,BEst_PE_RATIO,PE_RATIO,BEst_EPS,PX_TO_BOOK_RATIO,EBIT,ROE,ROA,EARN_YLD_HIST,PUT_CALL_VOLUME_RATIO_CUR_DAY,SHORT_INT_RATIO,BETA_ADJ_OVERRIDABLE,BETA_RAW_OVERRIDABLE
2/28/25,79.98,-11.93,-12.98008922,84.92,0.15,0.176949392,78.58,85.18,84.915,125977426,10384960000,199167.6745,151.373,432.3763,#N/A N/A,39.6961,11.043,10.9022,8.5092,0.2313,0.7442,#N/A N/A,2.0358,2.5537
2/27/25,91.91,2.75,3.084342755,84.77,-4.54,-5.08341731,84.17,93.62,84.77,99680477,8810639000,198815.871,151.105,431.6126,#N/A N/A,39.626,113.14,12.3976,8.5092,0.2317,0.8231,#N/A N/A,2.0508,2.5763
2/26/25,89.16,-1.49,-1.643684501,89.31,1.47,1.673497268,87.59,91.69,89.33,94846187,8501119000,209463.7896,159.198,454.7283,#N/A N/A,41.7482,113.14,12.3976,8.5092,0.2199,0.6235,#N/A N/A,2.046,2.569
2/25/25,90.65,-5.23,-5.454735086,87.84,-2.84,-3.131892369,85.25,91.7,87.845,132626266,11644860000,206016.1155,156.578,447.2437,#N/A N/A,41.0611,113.14,12.3976,8.5092,0.2236,0.9176,#N/A N/A,2.0462,2.5693
2/24/25,95.88,-11.8,-10.95839525,90.68,-10.67,-10.5278737,89.3,99.01,90.665,184484984,17054610000,212676.928,161.64,461.7037,#N/A N/A,42.3886,113.14,12.3976,8.5092,0.2166,1.1069,#N/A N/A,2.0426,2.5639
2/21/25,107.68,4.77,4.635118064,101.35,-4.92,-4.629716759,100,109.07,101.335,129063185,13477660000,237701.8819,180.66,516.0308,#N/A N/A,47.3763,113.14,12.3976,8.5092,0.1938,1.0666,#N/A N/A,2.0242,2.5363
2/20/25,102.91,-20.95,-16.91425803,106.27,-5.79,-5.166874888,95.8,107.4,106.265,243093928,24815280000,249241.0359,189.43,541.0813,0.129,49.6762,113.14,12.3976,8.5092,0.1848,1.0182,#N/A N/A,2.0216,2.5325
2/19/25,123.86,2.92,2.414420374,112.06,-12.56,-10.07863906,108.56,125.41,112.07,147487261,17225600000,262820.6501,201.91,570.5615,0.128,52.3828,113.14,12.3976,8.5092,0.1753,1.3975,#N/A N/A,2.0166,2.525
2/18/25,120.94,3.04,2.578456319,124.62,5.46,4.582074522,118.43,125,124.615,84227164,10266140000,292278.3278,224.541,634.5117,#N/A N/A,58.254,113.14,12.3976,8.5092,0.1576,0.7352,#N/A N/A,2.0202,2.5303
2/14/25,117.9,0.59,0.502940926,119.16,1.25,1.060130608,116.8,120.67,119.155,65528863,7768136000,271352.7504,214.703,606.7117,#N/A N/A,55.7017,113.14,12.3976,8.5092,0.1648,0.7069,0.721,2.0433,2.5649
2/13/25,117.31,7.02,6.365037628,117.91,0.52,0.442967885,115.1501,118.39,117.905,60026970,7020666000,268506.2336,212.45,600.3472,#N/A N/A,55.1174,113.14,12.3976,8.5092,0.1666,0.8585,#N/A N/A,2.0386,2.5579
2/12/25,110.29,-6.21,-5.330472103,117.39,4.77,4.235482152,110,117.59,117.405,75316878,8681178000,267322.0827,211.514,597.6996,0.128,54.8743,113.14,12.3976,8.5092,0.1673,0.8749,#N/A N/A,2.044,2.566
2/11/25,116.5,4.47,3.990002678,112.62,-4.03,-3.454779254,112.1,118.66,112.635,94311705,10806790000,256459.7747,202.919,573.4128,#N/A N/A,52.6445,113.14,12.3976,8.5092,0.1744,0.9673,#N/A N/A,2.0474,2.5711
2/10/25,112.03,0.37,0.331363066,116.65,5.8,5.232295895,108.72,116.76,116.69,99938072,11358790000,265636.9447,210.18,593.9319,#N/A N/A,54.5284,113.14,12.3976,8.5092,0.1684,0.818,#N/A N/A,2.0424,2.5636
2/7/25,111.66,10.57,10.45602928,110.85,-0.43,-0.386412653,110.45,116.3,110.815,143795408,16301920000,252429.1069,199.73,564.4007,0.128,51.8171,113.14,12.3976,8.5092,0.1772,0.7631,#N/A N/A,2.0368,2.5552
2/6/25,101.09,-0.69,-0.677932796,111.28,9.92,9.786898185,100.26,111.545,111.295,128217484,13796270000,253408.3087,200.505,566.5901,#N/A N/A,52.0181,113.14,12.3976,8.5092,0.1765,0.7464,#N/A N/A,2.0316,2.5474
2/5/25,101.78,-1.02,-0.992217899,101.36,-2.47,-2.378888568,99.32,103.57,101.36,90792345,9196594000,230818.3516,182.631,516.0817,#N/A N/A,47.381,113.14,12.3976,8.5092,0.1938,0.7516,#N/A N/A,2.0265,2.5398
2/4/25,102.8,22.675,28.29953198,103.83,20.09,23.99092429,100.51,106.91,103.825,230806794,23862750000,236443.0688,187.081,528.6579,0.128,48.5356,113.14,12.3976,8.5092,0.1892,0.8047,#N/A N/A,2.029,2.5435
2/3/25,80.125,-0.875,-1.080246914,83.74,1.25,1.515335192,78.47,84.25,83.92,126592731,11035370000,190693.8513,165.494,426.3682,0.116,39.1445,113.14,12.3976,8.5092,0.2345,0.8752,#N/A N/A,1.9996,2.4994
1/31/25,81,0.98,1.224693827,82.49,1.27,1.563654272,80.87,85.22,82.485,79000219,6611118000,187847.3345,172.213,420.0038,#N/A N/A,38.5602,113.14,12.3976,8.5092,0.2381,0.687,1.129,2.0357,2.5536
1/30/25,80.02,0.07,0.087554722,81.22,1.46,1.830491474,79.38,81.8299,81.215,46067527,3719414000,184955.2735,169.562,413.5375,0.108,37.9665,113.14,12.3976,8.5092,0.2418,0.5002,#N/A N/A,2.043,2.5645
1/29/25,79.95,4.41,5.83796664,79.76,-0.47,-0.58581578,77.81,80.8199,79.755,49262158,3903321000,181630.5419,166.514,406.1038,#N/A N/A,37.284,113.14,12.3976,8.5092,0.2462,0.6913,#N/A N/A,2.0428,2.5643
1/28/25,75.54,1.47,1.984609154,80.23,4.79,6.349416755,74.04,80.74,80.235,65916656,5174405000,182700.8322,167.495,408.4968,#N/A N/A,37.5037,113.14,12.3976,8.5092,0.2448,0.5661,#N/A N/A,2.0431,2.5647
1/27/25,74.07,-4.98,-6.299810247,75.44,-3.54,-4.482147379,72.67,76.72,75.455,76093325,5675219000,171792.98,157.495,384.1082,0.108,35.2646,113.14,12.3976,8.5092,0.2603,0.6279,#N/A N/A,2.0352,2.5528
1/24/25,79.05,3.01,3.958442925,78.98,0,0,78.4401,82.24,78.985,77931906,6256270000,179854.3154,164.885,402.1324,0.108,36.9194,113.14,12.3976,8.5092,0.2487,0.6461,#N/A N/A,2.0262,2.5393
1/23/25,76.04,1.54,2.067114094,78.98,2.11,2.744893977,75.84,79,78.985,55937896,4349834000,179854.3154,164.2,402.1324,#N/A N/A,36.9194,113.14,12.3976,8.5092,0.2487,0.7219,#N/A N/A,2.0281,2.5422
1/22/25,74.5,1.26,1.720371382,76.87,3.8,5.200492678,73.8,77.16,76.845,66876368,5078169000,175049.3951,159.813,391.3891,0.109,35.9331,113.14,12.3976,8.5092,0.2555,0.5032,#N/A N/A,2.0272,2.5408
1/21/25,73.24,2.34,3.300423131,73.07,1.3,1.811341786,70.6007,73.6363,73.09,56228967,4093782000,166395.9842,151.913,372.0412,0.109,34.1568,113.14,12.3976,8.5092,0.2688,0.5002,#N/A N/A,2.0235,2.5353
1/17/25,70.9,1.82,2.63462652,71.77,2.53,3.65395725,69.95,72.34,71.775,54753981,3905337000,163435.6067,149.21,365.4221,#N/A N/A,33.5491,113.14,12.3976,8.5092,0.2737,0.5523,#N/A N/A,2.0232,2.5348
1/16/25,69.08,0.53,0.773158279,69.24,1.1,1.614323452,68.36,71.43,69.235,62908663,4400243000,157674.2568,143.95,352.5404,0.109,32.3664,113.14,12.3976,8.5092,0.2837,0.5645,#N/A N/A,2.0217,2.5326
1/15/25,68.55,1.37,2.03929741,68.14,2.23,3.383401608,67.08,68.85,68.13,56025752,3815346000,155169.322,141.958,346.9397,0.109,31.8522,113.14,12.3976,8.5092,0.2882,0.5467,1.108,2.0228,2.5342
1/14/25,67.18,2.89,4.495255872,65.91,0.93,1.431209603,65.19,68.23,65.915,56814898,3785754000,150091.1361,137.313,335.5855,#N/A N/A,30.8098,113.14,12.3976,8.5092,0.298,0.6625,#N/A N/A,2.0285,2.5428
1/13/25,64.29,-1.72,-2.605665808,64.98,-2.28,-3.389830508,63.4,65.68,64.975,69046325,4460771000,147973.3276,135.375,330.8503,#N/A N/A,30.3751,113.14,12.3976,8.5092,0.3023,0.7865,#N/A N/A,2.0274,2.5411
1/10/25,66.01,-2.11,-3.097475044,67.26,-0.97,-1.421662026,65.04,68.2,67.245,78148636,5196408000,153165.3742,140.125,342.4591,0.109,31.4409,113.14,12.3976,8.5092,0.292,0.9228,#N/A N/A,2.0277,2.5416
1/8/25,68.12,-7.08,-9.414893617,68.23,-1.76,-2.514644949,66.51,69.53,68.27,91349513,6204678000,155374.2712,142.146,347.398,0.109,31.8943,113.14,12.3976,8.5092,0.2879,0.9336,#N/A N/A,2.0361,2.5543
1/7/25,75.2,-3.49,-4.435125175,69.99,-5.93,-7.81085353,69.75,75.39,70.005,91727347,6571374000,159382.1668,145.813,356.3591,0.109,32.717,113.14,12.3976,8.5092,0.2806,0.6972,#N/A N/A,2.0366,2.5549
1/6/25,78.69,3.3,4.377238361,75.92,-3.97,-4.969332833,74.61,80.06,75.945,105619544,8126425000,172886.0424,158.167,386.5521,0.109,35.489,113.14,12.3976,8.5092,0.2587,0.8572,#N/A N/A,2.023,2.5345
1/3/25,75.39,-0.81,-1.062992126,79.89,4.7,6.250831228,75.19,79.98,79.845,62415008,4907734000,181926.5796,167.836,406.7657,#N/A N/A,37.3448,113.14,12.3976,8.5092,0.2458,0.8386,#N/A N/A,2.0121,2.5181
1/2/25,76.2,-1.38,-1.778808971,75.19,-0.44,-0.581779717,72.42,76.53,75.22,72217192,5379577000,171223.6766,157.962,382.8353,0.109,35.1478,113.14,12.3976,8.5092,0.2612,0.8239,#N/A N/A,2.0056,2.5084
12/31/24,77.58,0.54,0.700934579,75.63,-1.55,-2.008292304,73.65,77.9796,75.655,56267937,4296928000,172225.6505,158.887,385.0756,#N/A N/A,35.3535,113.14,12.3976,8.5092,0.2597,0.7142,0.994,2.0054,2.5081
12/30/24,77.04,-4.38,-5.379513633,77.18,-1.9,-2.402630248,76.11,79.24,77.12,60850862,4727082000,175755.3313,162.143,369.3654,0.109,38.9458,113.14,12.3976,9.5683,0.2707,0.7714,#N/A N/A,2.0038,2.5058
12/27/24,81.42,-1.74,-2.092352092,79.08,-3.06,-3.725346969,77.93,82,79.13,66975887,5296470000,180082.0368,166.134,378.4583,#N/A N/A,39.9046,113.14,12.3976,9.5683,0.2642,0.7669,#N/A N/A,1.9956,2.4935
12/26/24,83.16,2.07,2.552719201,82.14,-0.24,-0.291332848,81.3,83.49,82.135,60547746,4979758000,187050.3098,172.563,393.1028,#N/A N/A,41.4487,113.14,12.3976,9.5683,0.2544,0.768,#N/A N/A,1.9924,2.4886
12/24/24,81.09,0.44,0.545567266,82.38,1.69,2.094435494,81,84.7968,82.395,64983263,5392271000,187596.841,173.067,394.2513,#N/A N/A,41.5698,113.14,12.3976,9.5683,0.2536,0.6722,#N/A N/A,1.9922,2.4884
12/23/24,80.65,8.01,11.02698238,80.69,0.14,0.17380509,77.41,82.02,80.675,93819484,7514579000,183748.3504,169.517,386.1634,#N/A N/A,40.717,113.14,12.3976,9.5683,0.259,0.8336,#N/A N/A,1.9983,2.4975
12/20/24,72.64,-1.35,-1.824570888,80.55,6.34,8.543323002,71.5,80.66,80.645,281230836,22244970000,183429.5405,169.223,385.4934,#N/A N/A,40.6464,113.14,12.3976,9.5683,0.2594,0.6138,#N/A N/A,1.9942,2.4913
12/19/24,73.99,-0.31,-0.417227456,74.21,2.7,3.775695707,73.37,76.59,74.26,99524332,7444008000,168992.0075,155.903,355.1516,0.109,37.4471,113.14,12.3976,9.5683,0.2816,0.9223,#N/A N/A,1.9832,2.4748
12/18/24,74.3,1.02,1.391921397,71.51,-2.88,-3.871488103,70.27,77.6,71.445,109643381,8199545000,162843.5312,150.865,342.2301,0.108,36.0847,113.14,12.3976,9.5683,0.2922,0.7472,#N/A N/A,1.9845,2.4767
12/17/24,73.28,-1.78,-2.371436184,74.39,-1.36,-1.795379538,71.7,75.32,74.395,75469386,5574675000,169401.9059,156.941,356.0131,#N/A N/A,37.538,113.14,12.3976,9.5683,0.2809,0.4611,#N/A N/A,2.0039,2.5058
12/16/24,75.06,1.57,2.136345081,75.75,-0.32,-0.420665177,71.16,77.82,75.755,126099615,9344463000,172498.9161,159.81,362.5217,#N/A N/A,38.2242,113.14,12.3976,9.5683,0.2758,0.4035,#N/A N/A,2.0151,2.5227
12/13/24,73.49,1.19,1.645919779,76.07,2.87,3.920765027,72.45,76.1,76.075,76172785,5666747000,173227.6244,160.485,364.0532,#N/A N/A,38.3857,113.14,12.3976,9.5683,0.2747,0.4347,0.872,2.0081,2.5122
12/12/24,72.3,-0.68,-0.931762127,73.2,0.69,0.951592884,71.9,75.38,73.205,73859672,5421820000,166692.0219,154.43,350.318,#N/A N/A,36.9375,113.14,12.3976,9.5683,0.2855,0.4472,#N/A N/A,2.0097,2.5145
12/11/24,72.98,0.99,1.375190999,72.51,1.62,2.285230639,68.07,73,72.505,89477656,6334427000,165120.7446,152.975,347.0158,0.108,36.5893,113.14,12.3976,9.5683,0.2882,0.5459,#N/A N/A,2.0122,2.5183
12/10/24,71.99,-8.59,-10.66021345,70.89,-1.57,-2.166712669,70.73,75.56,70.905,89672470,6544464000,161431.6589,149.873,339.2629,0.108,35.7718,113.14,12.3976,9.5683,0.2948,0.7841,#N/A N/A,2.0123,2.5185
12/9/24,80.58,7.63,10.45921864,72.46,-3.88,-5.082525544,71.05,80.91,72.485,168134824,12590780000,165006.884,153.192,346.7765,#N/A N/A,36.5641,113.14,12.3976,9.5683,0.2884,0.7817,#N/A N/A,2.0073,2.5109
12/6/24,72.95,2.84,4.05077735,76.34,4.47,6.2195631,72.28,76.82,76.315,93640902,7074838000,173842.472,161.395,365.3453,#N/A N/A,38.5219,113.14,12.3976,9.5683,0.2737,0.646,#N/A N/A,1.9969,2.4953
12/5/24,70.11,-1.02,-1.433994095,71.87,2.02,2.891911238,69.89,72.98,71.875,66585762,4770443000,163663.3281,151.945,343.9529,#N/A N/A,36.2663,113.14,12.3976,9.5683,0.2907,0.6415,#N/A N/A,1.9937,2.4906
12/4/24,71.13,4.72,7.107363349,69.85,-1.11,-1.564261556,67.28,71.18,69.865,86284801,5985989000,159063.357,147.674,334.2857,#N/A N/A,35.247,113.14,12.3976,9.5683,0.2991,0.6954,#N/A N/A,1.9954,2.4931
12/3/24,66.41,-1.03,-1.527283511,70.96,4.57,6.883566802,66.15,71.37,70.965,100751420,7052306000,161591.0639,150.021,339.5979,#N/A N/A,35.8071,113.14,12.3976,9.5683,0.2945,0.7723,#N/A N/A,1.9989,2.4983
12/2/24,67.44,1.55,2.352405524,66.39,-0.69,-1.02862254,65.96,67.88,66.375,46404971,3098248000,151184.1986,140.359,317.727,#N/A N/A,33.5011,113.14,12.3976,9.5683,0.3147,0.8415,#N/A N/A,2.0066,2.51
11/29/24,65.89,-0.35,-0.528381643,67.08,1.03,1.559424678,65.47,67.16,67.075,30104046,2005889000,152755.4758,141.818,321.0291,#N/A N/A,33.8493,113.14,12.3976,9.5683,0.3115,0.6586,1.14,1.9944,2.4916
11/27/24,66.24,1.67,2.586340406,66.05,0.31,0.471554609,64.24,67.56,66.06,53839900,3548746000,150409.946,139.641,316.0998,#N/A N/A,33.3295,113.14,12.3976,9.5683,0.3164,0.7975,#N/A N/A,1.995,2.4925
11/26/24,64.57,-2.33,-3.482810164,65.74,1.09,1.686001547,63.89,65.85,65.765,46923572,3062259000,149704.0098,138.985,314.6162,#N/A N/A,33.1731,113.14,12.3976,9.5683,0.3178,0.7173,#N/A N/A,1.996,2.494
11/25/24,66.9,5.3,8.603896104,64.65,0.3,0.466200466,64.08,67.88,64.645,80640465,5306583000,147221.8472,136.681,309.3997,0.108,32.6231,113.14,12.3976,9.5683,0.3232,0.6637,#N/A N/A,1.9902,2.4853
11/22/24,61.6,-0.44,-0.709219858,64.35,2.99,4.872881356,61.37,64.44,64.325,61381713,3883059000,146538.6832,136.047,307.964,#N/A N/A,32.4717,113.14,12.3976,9.5683,0.3247,0.5214,#N/A N/A,1.991,2.4865
11/21/24,62.04,-0.55,-0.878734622,61.36,-0.76,-1.223438506,60.895,63.4,61.355,56336740,3491466000,139729.8151,129.725,293.6546,#N/A N/A,30.9629,105.339,11.5487,9.5683,0.3405,0.738,#N/A N/A,1.9813,2.472
11/20/24,62.59,3.08,5.175600739,62.12,-0.86,-1.365512861,59.96,63.08,62.115,59182183,3630418000,141460.4973,131.332,297.2917,#N/A N/A,31.3464,105.339,11.5487,9.5683,0.3364,0.9653,#N/A N/A,1.9837,2.4756
11/19/24,59.51,-5.41,-8.333333333,62.98,1.72,2.807704865,59.265,63.01,62.975,75557817,4631037000,143418.9008,133.15,301.4075,#N/A N/A,31.7804,105.339,11.5487,9.5683,0.3318,0.8005,#N/A N/A,1.9835,2.4752
11/18/24,64.92,3.91,6.408785445,61.26,-4.51,-6.85722974,58.85,64.92,61.255,137877641,8462416000,139502.0937,129.514,293.176,#N/A N/A,30.9124,105.339,11.5487,9.5683,0.3411,0.7626,#N/A N/A,1.9844,2.4766
11/15/24,61.01,-0.04,-0.065520066,65.77,6.59,11.13551876,60.91,66,65.785,155280388,9914466000,149772.3262,139.049,314.7598,#N/A N/A,33.1882,105.339,11.5487,9.5683,0.3177,0.8277,0.849,1.9922,2.4884
11/14/24,61.05,-0.47,-0.763979194,59.18,-1.52,-2.504118616,58.53,61.17,59.195,59968240,3578781000,134765.4898,125.116,283.2216,#N/A N/A,29.8628,105.339,11.5487,9.5683,0.3531,0.984,#N/A N/A,2.0305,2.5458
11/13/24,61.52,2.51,4.253516353,60.7,0.85,1.42021721,59.85,63.39,60.7,85937360,5311721000,138226.8542,128.33,290.4959,#N/A N/A,30.6298,105.339,11.5487,9.5683,0.3442,0.7449,#N/A N/A,2.0289,2.5434
11/12/24,59.01,-1.1225,-1.866711013,59.85,-0.39,-0.647410359,58.57,60.09,59.875,59061338,3501962000,136291.2228,126.533,286.428,#N/A N/A,30.2009,105.339,11.5487,9.5683,0.3491,0.9985,#N/A N/A,2.029,2.5436
11/11/24,60.1325,4.5625,8.210365305,60.24,1.85,3.168350745,58.69,62.08,60.275,108357795,6564976000,137179.3361,127.357,288.2945,0.108,30.3977,105.339,11.5487,9.5683,0.3469,0.6365,#N/A N/A,2.032,2.5481
11/8/24,55.57,-0.25,-0.447868148,58.39,2.51,4.491768074,55.3,58.48,58.435,84124034,4830397000,132966.4912,123.446,279.4408,#N/A N/A,29.4642,105.339,11.5487,9.5683,0.3579,0.6882,#N/A N/A,1.9896,2.4844
11/7/24,55.82,2.38,4.453592814,55.88,0.35,0.630289933,53.55,56.47,55.875,121591164,6681211000,127250.6856,118.14,267.4286,#N/A N/A,28.1976,105.339,11.5487,9.5683,0.3739,0.7377,#N/A N/A,1.9888,2.4833
11/6/24,53.44,5.58,11.65900543,55.53,4.4,8.605515353,51.61,55.69,55.505,114255943,6174513000,126453.6609,117.4,265.7535,0.108,28.021,105.339,11.5487,9.5683,0.3763,0.6549,#N/A N/A,1.9905,2.4858
